Date	Call	Frequency	SNR	Drift	Grid	dBm	W
by	loc	km	mi	Mode
 2021-02-05 11:08 	 OU2ECV 	 14.097076 	 -25 	 0 	 JO65gs 	 +23 	 0.200 	 IZ0FKE 	 JN61fw 	 1538 	 956 	 WSPR-2 
 2021-02-05 11:02 	 OU2ECV 	 14.097051 	 -6 	 3 	 JO65gs 	 +23 	 0.200 	 IW2NKE 	 JN63np 	 1349 	 838 	 WSPR-2 
 2021-02-05 10:58 	 OU2ECV 	 14.097048 	 -11 	 3 	 JO65gs 	 +23 	 0.200 	 IW2NKE 	 JN63np 	 1349 	 838 	 WSPR-2 
 2021-02-05 10:54 	 OU2ECV 	 14.097051 	 -8 	 -4 	 JO65gs 	 +23 	 0.200 	 IW2NKE 	 JN63np 	 1349 	 838 	 WSPR-2 
 2021-02-05 10:30 	 OU2ECV 	 14.097034 	 -17 	 0 	 JO65gs 	 +23 	 0.200 	 F4GFZ 	 JN25pj 	 1260 	 783 	 WSPR-2 
 2021-02-05 10:30 	 OU2ECV 	 14.097131 	 -20 	 0 	 JO65gs 	 +23 	 0.200 	 EA8BFK 	 IL38bo 	 3676 	 2284 	 WSPR-2 
 2021-02-05 10:30 	 OU2ECV 	 14.097036 	 -22 	 0 	 JO65gs 	 +23 	 0.200 	 F1JSC 	 JN03ge 	 1641 	 1020 	 WSPR-2 
 2021-02-05 10:10 	 OU2ECV 	 14.097037 	 -3 	 0 	 JO65gs 	 +23 	 0.200 	 IW2NKE 	 JN63np 	 1349 	 838 	 WSPR-2 
 2021-02-05 10:10 	 OU2ECV 	 14.097026 	 -11 	 0 	 JO65gs 	 +23 	 0.200 	 YU1UN 	 JN93wv 	 1419 	 882 	 WSPR-2 
 2021-02-05 10:02 	 OU2ECV 	 14.097029 	 -12 	 2 	 JO65gs 	 +23 	 0.200 	 IW2NKE 	 JN63np 	 1349 	 838 	 WSPR-2 
 2021-02-05 09:52 	 OU2ECV 	 14.097022 	 -5 	 0 	 JO65gs 	 +23 	 0.200 	 IW2NKE 	 JN63np 	 1349 	 838 	 WSPR-2 
 2021-02-05 09:44 	 OU2ECV 	 14.097041 	 -9 	 0 	 JO65gs 	 +23 	 0.200 	 IW2NKE 	 JN63np 	 1349 	 838 	 WSPR-2 
 2021-02-05 09:34 	 OU2ECV 	 14.097017 	 -15 	 0 	 JO65gs 	 +23 	 0.200 	 I0UVN 	 JN61nl 	 1590 	 988 	 WSPR-2 
 2021-02-05 09:34 	 OU2ECV 	 14.097126 	 -16 	 0 	 JO65gs 	 +23 	 0.200 	 EA8BFK 	 IL38bo 	 3676 	 2284 	 WSPR-2 
 2021-02-05 09:26 	 OU2ECV 	 14.097045 	 -25 	 0 	 JO65gs 	 +23 	 0.200 	 IW2NKE 	 JN63np 	 1349 	 838 	 WSPR-2 
 2021-02-05 09:22 	 OU2ECV 	 14.097046 	 -23 	 0 	 JO65gs 	 +23 	 0.200 	 IW2NKE 	 JN63np 	 1349 	 838 	 WSPR-2 
